OldFM;NewFM;Generator;Size;Time;NSpecificTests;NNotSpecificTests;Specificity;FaultDetection;CombinatorialCoverage
PPUv5.xml;PPUv3.xml;GFE;7;3.0;7;0;1.0;0.7;1.0
PPUv5.xml;PPUv4.xml;SPECIFICITY_FMREDUCED;9;17.0;9;0;1.0;0.75974023;1.0
PPUv5.xml;PPUv4.xml;ACTS;9;67.0;9;0;1.0;0.75974023;1.0
PPUv5.xml;PPUv4.xml;MUTTESTGENERATOR;10;15.0;10;0;1.0;0.75974023;0.55448717
PPUv5.xml;PPUv4.xml;BDD_FMREDUCED;8;36.0;8;0;1.0;0.75974023;1.0
PPUv5.xml;PPUv4.xml;INCLING;9;8.0;9;0;1.0;0.75974023;1.0
PPUv5.xml;PPUv4.xml;GFE;10;5.0;10;0;1.0;0.75974023;1.0
PPUv5.xml;PPUv6.xml;SPECIFICITY_FMREDUCED;11;33.0;11;0;1.0;0.90495867;1.0
PPUv5.xml;PPUv6.xml;ACTS;12;188.0;12;0;1.0;0.90495867;1.0
PPUv5.xml;PPUv6.xml;MUTTESTGENERATOR;4;39.0;4;0;1.0;0.90495867;0.42916667
PPUv5.xml;PPUv6.xml;BDD_FMREDUCED;12;57.0;12;0;1.0;0.90495867;1.0
PPUv5.xml;PPUv6.xml;INCLING;13;10.0;13;0;1.0;0.90495867;1.0
PPUv5.xml;PPUv6.xml;GFE;12;8.0;12;0;1.0;0.90495867;1.0
PPUv5.xml;PPUv7.xml;SPECIFICITY_FMREDUCED;14;46.0;14;0;1.0;0.9194139;1.0
PPUv5.xml;PPUv7.xml;ACTS;12;181.0;12;0;1.0;0.9194139;1.0
PPUv5.xml;PPUv7.xml;MUTTESTGENERATOR;6;43.0;6;0;1.0;0.9194139;0.44852942
PPUv5.xml;PPUv7.xml;BDD_FMREDUCED;14;68.0;14;0;1.0;0.9194139;1.0
PPUv5.xml;PPUv7.xml;INCLING;13;14.0;13;0;1.0;0.919708;1.0
PPUv5.xml;PPUv7.xml;GFE;13;12.0;13;0;1.0;0.919708;1.0
PPUv5.xml;PPUv8.xml;SPECIFICITY_FMREDUCED;13;47.0;13;0;1.0;0.9130435;1.0
PPUv5.xml;PPUv8.xml;ACTS;12;204.0;12;0;1.0;0.9133574;1.0
PPUv5.xml;PPUv8.xml;MUTTESTGENERATOR;4;43.0;4;0;1.0;0.9130435;0.41911766
PPUv5.xml;PPUv8.xml;BDD_FMREDUCED;12;73.0;12;0;1.0;0.9130435;1.0
PPUv5.xml;PPUv8.xml;INCLING;12;13.0;12;0;1.0;0.9130435;1.0
PPUv5.xml;PPUv8.xml;GFE;14;11.0;14;0;1.0;0.9130435;1.0
